ID,Edad,Horas_trabajadas_por_semana,Ingreso_mensual_miles,Gasto_mensual_miles,Color_favorito,Ocupacion,Estado_civil,Genero
1,27,59,4.78,3.89,negro,programador,casado,femenino
2,24,39,3.59,3.16,rojo,programador,divorciado,masculino
3,52,27,7.4,6.49,morado,estudiante,soltero,femenino
4,29,47,4.95,4.27,azul,vendedor,divorciado,femenino
5,63,36,9.56,9.48,amarillo,ingeniero,viudo,femenino
6,41,30,7.96,7.5,azul,vendedor,casado,otro
7,18,25,2.15,1.85,azul,médico,casado,femenino
8,25,51,6.59,5.59,morado,ingeniero,soltero,masculino
9,30,37,2.7,2.62,rojo,docente,casado,femenino
10,33,28,8.24,7.54,morado,ingeniero,casado,otro
11,36,52,4.09,3.82,morado,docente,casado,masculino
12,52,41,5.47,5.07,blanco,vendedor,soltero,femenino
13,35,26,3.08,2.74,amarillo,vendedor,divorciado,femenino
14,47,25,5.7,5.07,rojo,médico,divorciado,masculino
15,29,43,1.92,1.85,verde,vendedor,casado,otro
16,34,28,4.55,3.86,morado,ingeniero,soltero,femenino
17,19,59,6.89,6.37,azul,docente,casado,femenino
18,52,60,6.64,6.35,amarillo,médico,viudo,femenino
19,22,42,5.11,5.05,morado,médico,casado,femenino
20,37,38,5.09,4.15,blanco,ingeniero,soltero,femenino
21,63,45,4.71,4.37,verde,estudiante,divorciado,masculino
22,21,55,5.28,4.7,verde,docente,casado,femenino
23,55,37,4.4,4.37,blanco,programador,divorciado,femenino
24,21,45,6.79,5.63,azul,estudiante,soltero,otro
25,36,30,4.09,3.97,amarillo,docente,divorciado,otro
26,28,33,9.8,8.63,azul,vendedor,viudo,otro
27,58,53,5.55,5.27,negro,estudiante,divorciado,masculino
28,49,57,6.11,5.06,verde,programador,soltero,femenino
29,40,58,6.1,5.88,blanco,vendedor,viudo,masculino
30,64,60,5.15,4.86,blanco,ingeniero,divorciado,otro
31,25,34,6.26,5.83,blanco,médico,casado,masculino
32,52,38,3.0,2.93,rojo,programador,casado,masculino
33,26,21,4.78,4.6,morado,médico,divorciado,otro
34,48,44,4.47,4.24,negro,programador,divorciado,femenino
35,33,54,8.5,7.35,negro,estudiante,viudo,otro
36,18,59,7.55,6.45,amarillo,programador,divorciado,femenino
37,51,37,5.44,4.92,blanco,médico,divorciado,otro
38,21,20,6.68,6.61,azul,médico,casado,masculino
39,20,21,3.87,3.17,blanco,vendedor,casado,otro
40,58,34,6.94,6.74,verde,programador,viudo,masculino
41,22,24,6.47,5.42,blanco,docente,soltero,femenino
42,35,31,8.05,7.12,rojo,vendedor,viudo,otro
43,40,50,7.12,6.97,negro,programador,soltero,masculino
44,24,46,2.25,1.86,verde,médico,casado,otro
45,37,23,9.59,9.44,azul,ingeniero,soltero,femenino
46,40,22,4.95,4.03,amarillo,médico,divorciado,masculino
47,53,37,7.23,6.2,azul,médico,soltero,femenino
48,45,60,2.36,1.94,blanco,ingeniero,divorciado,otro
49,50,52,7.38,5.94,blanco,programador,casado,otro
50,31,21,5.22,4.86,rojo,docente,soltero,femenino
51,64,34,7.86,6.81,verde,ingeniero,soltero,otro
52,37,59,5.58,5.1,azul,médico,divorciado,masculino
53,31,48,3.0,2.57,negro,estudiante,casado,femenino
54,30,42,6.85,6.23,azul,docente,soltero,otro
55,61,36,5.66,5.16,azul,docente,divorciado,masculino
56,48,28,5.79,5.65,morado,programador,casado,femenino
57,65,47,6.8,6.58,blanco,docente,viudo,masculino
58,61,40,3.15,2.6,verde,programador,viudo,otro
59,26,36,1.94,1.91,rojo,programador,soltero,masculino
60,22,50,7.59,6.78,morado,docente,casado,femenino
61,47,45,6.84,6.68,azul,vendedor,casado,otro
62,45,47,8.38,7.58,azul,docente,viudo,otro
63,55,45,3.93,3.89,blanco,ingeniero,soltero,femenino
64,19,59,6.99,5.7,verde,vendedor,soltero,otro
65,64,51,8.45,8.11,morado,vendedor,soltero,masculino
66,35,43,9.05,8.18,morado,estudiante,soltero,masculino
67,55,50,1.71,1.49,morado,programador,soltero,masculino
68,58,50,2.04,1.91,blanco,estudiante,divorciado,masculino
69,55,49,1.96,1.84,azul,programador,soltero,masculino
70,56,53,5.72,5.5,rojo,docente,casado,otro
71,35,52,6.07,5.35,rojo,médico,viudo,femenino
72,23,29,7.85,7.27,blanco,programador,soltero,masculino
73,45,52,2.68,2.3,verde,vendedor,divorciado,otro
74,44,42,5.17,4.62,azul,programador,casado,otro
75,47,33,8.88,7.89,verde,docente,casado,otro
76,52,21,4.19,3.73,morado,médico,divorciado,masculino
77,28,60,4.59,4.25,verde,médico,viudo,femenino
78,36,55,2.86,2.36,rojo,estudiante,soltero,femenino
79,44,56,7.13,6.71,negro,docente,divorciado,masculino
80,27,22,2.28,2.0,blanco,ingeniero,casado,femenino
81,27,52,9.62,7.98,negro,ingeniero,soltero,femenino
82,32,32,2.57,2.26,negro,ingeniero,soltero,masculino
83,38,56,4.38,4.29,negro,ingeniero,casado,femenino
84,44,28,4.99,4.12,blanco,médico,casado,masculino
85,26,24,6.71,5.84,amarillo,ingeniero,viudo,femenino
86,43,21,4.89,4.61,negro,vendedor,divorciado,femenino
87,24,41,5.15,4.86,rojo,estudiante,divorciado,femenino
88,32,45,4.16,3.63,rojo,ingeniero,casado,masculino
